fips,resistance,recovery,resilience
8014,0.430867,0.547096,0.899684
8015,0.402003,0.720915,0.921867
8017,0.376837,0.815605,0.928694
8019,0.366089,0.627711,0.901858
8021,0.253367,0.720919,0.900679
8023,0.305507,0.77422,0.914797
8025,0.244681,0.607762,0.877258
8027,0.408089,0.694315,0.919353
8029,0.314016,0.710198,0.908071
8031,0.388597,0.815372,0.93025
8033,0.318318,0.679144,0.90263
8035,0.677792,0.635441,0.952053
8037,0.397991,0.523214,0.888069
8039,0.450138,0.618357,0.914295
8041,0.463873,0.814684,0.938963
8043,0.283389,0.716787,0.903767
8045,0.430291,0.61261,0.910391
8047,0.471518,0.585896,0.912192
8049,0.492302,0.65118,0.925789
8051,0.44772,0.708819,0.925787
8053,0.389784,0.686503,0.915584
8055,0.304128,0.759681,0.913417
8057,0.371848,0.706459,0.914899
8059,0.469914,0.77547,0.935822
8061,0.353724,0.808624,0.925672
8063,0.30387,0.740256,0.910086
8065,0.297251,0.594493,0.884419
8067,0.434762,0.704133,0.923292
8069,0.408099,0.702557,0.920244
8071,0.280779,0.745011,0.908386
8073,0.282156,0.785018,0.912946
8075,0.300877,0.67935,0.90124
8077,0.388589,0.727045,0.920003
8079,0.40525,0.691937,0.919066
8081,0.320268,0.680221,0.904186
8083,0.346999,0.738191,0.916107
8085,0.333148,0.681614,0.905479
8087,0.344216,0.714405,0.911903
8089,0.2888,0.760504,0.911895
8091,0.499781,0.611965,0.921251
8093,0.475194,0.6302,0.91999
8095,0.345821,0.757162,0.918961
8097,0.482023,0.544534,0.908337
8099,0.263772,0.704821,0.900016
8101,0.298022,0.738689,0.909067
8103,0.37222,0.705515,0.914554
8105,0.350703,0.728576,0.915435
8107,0.433461,0.545367,0.899319
8109,0.31676,0.703707,0.907598
8111,0.373202,0.583862,0.895154
8113,0.530815,0.673681,0.933727
8115,0.352523,0.772333,0.921301
8117,0.447233,0.537869,0.899804
8119,0.429438,0.678999,0.919535
8121,0.343126,0.772419,0.919857
8123,0.355891,0.647892,0.904147
8125,0.361181,0.772339,0.922351
9001,0.32864,0.793817,0.920457
9003,0.338223,0.809331,0.923084
9005,0.368579,0.719265,0.916239
9007,0.343494,0.739521,0.91591
9009,0.327656,0.779879,0.918627
9011,0.35124,0.820655,0.926044
9013,0.438765,0.708618,0.924432
9015,0.348929,0.745765,0.917596
10001,0.355436,0.766099,0.920784
10003,0.389473,0.737545,0.921842
10005,0.377838,0.720768,0.91747
11001,0.360281,0.914772,0.93633
12001,0.388653,0.750947,0.923224
12003,0.272992,0.628916,0.887455
12005,0.383783,0.776794,0.925132
12007,0.273895,0.756029,0.908204
12009,0.427935,0.784583,0.932043
12011,0.435242,0.70958,0.924241
12013,0.26422,0.710344,0.899908
12015,0.411824,0.717676,0.922619
12017,0.35837,0.720834,0.914623
12019,0.452967,0.692943,0.925252
12021,0.436317,0.676034,0.92005
12023,0.307116,0.720827,0.908278
12027,0.297721,0.669178,0.898962
12029,0.261971,0.66964,0.893217
12031,0.406468,0.768791,0.928027
12033,0.340314,0.774283,0.9202
12035,0.484309,0.675675,0.927591
12037,0.286276,0.712511,0.904346
12039,0.289591,0.742626,0.909089
12041,0.258821,0.650735,0.889046
12043,0.251129,0.497098,0.849405
12045,0.284223,0.716477,0.904294
12047,0.261876,0.699518,0.898016
12049,0.286778,0.695646,0.902304
12051,0.284868,0.692151,0.901076
12053,0.394141,0.721945,0.920534
12055,0.324231,0.720549,0.91094
12057,0.411405,0.744963,0.925923
12059,0.290741,0.750388,0.91024
12061,0.407672,0.719431,0.922352
12063,0.293119,0.754426,0.910779
12065,0.268939,0.737143,0.905104
12067,0.23894,0.582148,0.872079
12069,0.316645,0.735937,0.91173
12071,0.403929,0.69086,0.918297
12073,0.421534,0.847149,0.936746
12075,0.251857,0.692452,0.896046
12077,0.236873,0.660474,0.887997
12079,0.29521,0.760804,0.912212
12081,0.347191,0.701058,0.911263
12083,0.350117,0.716264,0.912911
12085,0.377388,0.709327,0.916726
12086,0.383236,0.751404,0.922473
12087,0.338282,0.752416,0.916695
12089,0.410536,0.735122,0.924614
12091,0.419172,0.823154,0.934283
12093,0.275573,0.707049,0.901341
12095,0.473619,0.750232,0.93428
12097,0.454164,0.621248,0.915763
12099,0.410227,0.711063,0.921629
12101,0.361119,0.700551,0.912478
12103,0.386985,0.764315,0.924264
12105,0.343026,0.687269,0.90793
12107,0.278513,0.724504,0.904754
12109,0.444564,0.707484,0.925024
12111,0.396759,0.687376,0.916415
12113,0.396436,0.713257,0.919954
12115,0.412066,0.745812,0.925922
12117,0.4858,0.661609,0.926167
12119,0.389771,0.663903,0.912161
12121,0.259865,0.710699,0.900191
12123,0.254453,0.717711,0.900807
12125,0.24574,0.616438,0.880097
12127,0.353843,0.722222,0.914379
12129,0.327265,0.61456,0.893351
12131,0.395428,0.765108,0.925174
12133,0.278767,0.739761,0.906587
13001,0.220776,0.696546,0.892252
13003,0.243996,0.686677,0.893769
13005,0.243435,0.702025,0.896504
13007,0.257625,0.707276,0.899043
13009,0.264611,0.674871,0.89504
13011,0.28155,0.550635,0.871467
13013,0.443528,0.667697,0.920705
13015,0.359369,0.625215,0.901319
13017,0.239341,0.714442,0.898082
13019,0.282405,0.680085,0.898009
13021,0.333579,0.758914,0.917595
13023,0.26072,0.701782,0.898469
13025,0.265435,0.616016,0.883662
13027,0.273647,0.702225,0.900329
13029,0.472302,0.882517,0.945329
13031,0.316225,0.667126,0.900839
13033,0.267289,0.710415,0.90024
13035,0.373254,0.67743,0.911496
13037,0.260925,0.755041,0.907622
13039,0.425622,0.762721,0.929486
13043,0.273674,0.687509,0.898213
13045,0.354695,0.672476,0.908356
13047,0.360591,0.599893,0.896629
13049,0.299007,0.811913,0.918258
13051,0.398873,0.792245,0.929023
13053,0.472547,0.865878,0.94381
13055,0.256921,0.681763,0.894072
13057,0.491024,0.591959,0.917451
13059,0.377531,0.728987,0.919246
13061,0.285591,0.774746,0.913096
13063,0.42814,0.6413,0.915044
13065,0.275033,0.72926,0.905093
13067,0.51078,0.772602,0.941397
13069,0.246995,0.661911,0.889597
13071,0.267767,0.716103,0.901661
13073,0.52438,0.797149,0.9449
13075,0.292241,0.676909,0.899566
13077,0.395661,0.653162,0.910782
13079,0.28005,0.552075,0.870177
