fips,resistance,recovery,resilience
6081,0.294479,0.643271,0.893174
6083,0.269054,0.641938,0.888992
6085,0.302463,0.655293,0.896352
6087,0.253684,0.598193,0.877302
6089,0.26456,0.696782,0.898477
6091,0.280802,0.782412,0.9129
6093,0.272159,0.737555,0.906409
6095,0.309001,0.691328,0.903617
6097,0.287776,0.660852,0.894954
6099,0.277166,0.657556,0.892633
6101,0.296128,0.667631,0.897928
6103,0.257345,0.693577,0.897396
6105,0.270346,0.754169,0.907796
6107,0.270616,0.670053,0.89448
6109,0.260638,0.724125,0.902049
6111,0.307174,0.660005,0.898572
6113,0.262982,0.664421,0.893028
6115,0.294046,0.752245,0.910973
8001,0.345911,0.667954,0.905004
8003,0.259599,0.725849,0.903251
8005,0.333962,0.678786,0.905792
8007,0.305375,0.69017,0.904894
8009,0.303194,0.824074,0.921085
8011,0.252695,0.748104,0.904867
8013,0.312933,0.65319,0.898957
8014,0.322791,0.525054,0.873602
8015,0.329739,0.729822,0.913539
8017,0.328451,0.808889,0.922922
8019,0.312641,0.667849,0.90124
8021,0.260081,0.7633,0.907875
8023,0.281275,0.792206,0.91487
8025,0.20217,0.585123,0.867218
8027,0.303066,0.732894,0.909913
8029,0.278995,0.716218,0.904393
8031,0.267494,0.705982,0.900297
8033,0.288481,0.741339,0.909193
8035,0.492983,0.631709,0.922854
8037,0.414319,0.592013,0.905038
8039,0.407733,0.694704,0.919313
8041,0.365698,0.733101,0.91796
8043,0.247587,0.665957,0.891514
8045,0.367908,0.660732,0.908748
8047,0.306568,0.617978,0.892022
8049,0.419433,0.687314,0.919997
8051,0.364844,0.730584,0.918066
8053,0.337476,0.763966,0.919056
8055,0.274548,0.75491,0.909493
8057,0.325915,0.757186,0.916274
8059,0.337914,0.698918,0.909444
8061,0.28492,0.7314,0.908153
8063,0.26674,0.731416,0.90533
8065,0.319444,0.675897,0.904182
8067,0.33504,0.699108,0.909846
8069,0.335238,0.691332,0.90829
8071,0.2803,0.754893,0.910664
8073,0.266071,0.797932,0.91402
8075,0.257259,0.708511,0.900217
8077,0.300539,0.695124,0.903348
8079,0.258553,0.704851,0.901707
8081,0.313894,0.708341,0.908392
8083,0.299345,0.746453,0.910874
8085,0.299931,0.691733,0.903085
8087,0.309814,0.695191,0.905519
8089,0.276341,0.74862,0.909069
8091,0.38105,0.690238,0.915509
8093,0.379099,0.726114,0.918733
8095,0.28024,0.764225,0.911568
8097,0.336936,0.56077,0.886841
8099,0.254715,0.729826,0.903121
8101,0.274021,0.7073,0.902195
8103,0.357811,0.749685,0.919796
8105,0.294884,0.731414,0.908776
8107,0.38046,0.621685,0.904372
8109,0.311451,0.7544,0.91404
8111,0.316673,0.612031,0.893568
8113,0.404336,0.686495,0.918307
8115,0.309309,0.792647,0.918876
8117,0.382425,0.597292,0.899657
8119,0.33962,0.686514,0.908285
8121,0.330821,0.802582,0.922119
8123,0.324331,0.651849,0.899997
8125,0.326657,0.760924,0.916699
9001,0.273434,0.691409,0.898836
9003,0.272688,0.708971,0.901139
9005,0.287723,0.628295,0.889886
9007,0.306138,0.695656,0.903409
9009,0.2594,0.693159,0.896494
9011,0.322175,0.759962,0.914947
9013,0.345139,0.680107,0.907496
9015,0.306523,0.712837,0.906391
10001,0.352155,0.718607,0.914175
10003,0.292001,0.672334,0.897475
10005,0.302039,0.621863,0.891374
11001,0.263145,0.808079,0.91493
12001,0.283005,0.717693,0.904566
12003,0.287205,0.708263,0.90319
12005,0.309804,0.71445,0.906891
12007,0.254017,0.741965,0.904143
12009,0.291321,0.704581,0.902955
12011,0.295785,0.65366,0.894725
12013,0.256688,0.729446,0.902942
12015,0.283522,0.675294,0.897093
12017,0.271842,0.675571,0.895652
12019,0.374355,0.670154,0.910588
12021,0.316895,0.637729,0.89664
12023,0.288644,0.717882,0.904621
12027,0.261003,0.684421,0.896584
12029,0.232567,0.727735,0.898592
12031,0.303715,0.682538,0.901683
12033,0.290836,0.713664,0.904376
12035,0.342293,0.666426,0.904522
12037,0.250957,0.723555,0.900628
12039,0.266044,0.740345,0.90566
12041,0.227556,0.703911,0.894405
12043,0.246859,0.631204,0.884558
12045,0.259407,0.741192,0.904916
12047,0.226074,0.725001,0.898024
12049,0.264895,0.691198,0.898437
12051,0.266204,0.681978,0.896423
12053,0.301794,0.682707,0.901291
12055,0.255164,0.681655,0.894909
12057,0.313692,0.6705,0.901107
12059,0.263466,0.767608,0.909086
12061,0.29203,0.665198,0.89722
12063,0.259739,0.749711,0.90564
12065,0.248407,0.741904,0.903912
12067,0.231798,0.697193,0.894429
12069,0.28518,0.687574,0.899282
12071,0.283111,0.659678,0.894074
12073,0.318869,0.78459,0.917896
12075,0.261068,0.69219,0.897872
12077,0.240657,0.721424,0.899095
12079,0.255729,0.75636,0.906787
12081,0.290532,0.656814,0.894934
12083,0.282368,0.684798,0.898123
12085,0.267247,0.654079,0.891863
12086,0.285321,0.678061,0.897144
12087,0.294036,0.700564,0.903565
12089,0.324397,0.698898,0.907974
12091,0.34769,0.744168,0.916883
12093,0.252754,0.683526,0.895115
12095,0.304149,0.661678,0.898116
12097,0.310552,0.626094,0.89317
